title,year,genre,director,writer,actors,wiki_url
Lakshyam,2017,"Action, Adventure, Thriller",Anzar Khan,Jeethu Joseph,"Indrajith Sukumaran, Biju Menon, Shivada Nair, Kishore Satya, Shammi Thilakan, Grace Antony, Anjana Appukuttan, Disney James, Koottickal Jayachandran, Sudhi Koppa, Abraham Koshy, Lishoy, Mahesh, Binoy Nambala, Nandu Poduval","Lakshyam_(2017_film), Lakshyam_(2007_film), "
Jinn,2018,Drama,Nijla Mumin,Nijla Mumin,"Simone Missick, Zoe Renee, Hisham Tawfiq, Kelvin Harrison Jr., Dorian Missick, Kelly Jenrette, Ashlei Foushee, Maya Morales, Upasana Beharee, Damien D. Smith, Horace Dodd, John Zderko, Emily Adams, Melissa Kay Anderson, Brian Carroll","Jinn_(film), "
Triple Threat,2019,"Action, Thriller",Jesse V. Johnson,"Joey O'Bryan, Fangjin Song","Tony Jaa, Tiger Hu Chen, Iko Uwais, Scott Adkins, Celina Jade, Michael Jai White, Michael Bisping, JeeJa Yanin, Dominiquie Vandenberg, Ron Smoorenburg, Monica Siu-Kei Mok, Guangbei Zhang, Sile Zhang, Anthony Tai, Daniel Whyte","Triple_Threat_(film), "
Yuddham Sharanam,2017,"Action, Thriller",Krishna Marimuthu,"Krishna Marimuthu, David Nathan","Naga Chaitanya Akkineni, Lavanya Tripathi, Meka Srikanth, Revathi, Rao Ramesh, Priyadarshi, Murli Sharma, Raja Ravindra, Anand, Anand, Darbha Appaji Ambarisha, Seema Chowdary, Kireeti Damaraju, John Kottoly, Vinod Kumar","Yuddham_Sharanam, "
Blue,2018,"Comedy, Drama",Gabriela Ledesma,"Gabriela Ledesma, Callie Schuttera","Judith Scott, Chelsea Lopez, Jordan Trovillion, Laura Schein, Shaw Jones, Carly Tamborski, Pamela Daly, Anita Farmer Bergman, Robert Pavlovich, Jonny Loquasto, Callie Schuttera, Jennifer Daley, Bret Aaron Knower, Aubrey Manning, Roger Jerome","Blue_(2009_film), Blue_(2001_film), "
Maracaibo,2017,"Crime, Drama, Thriller",Miguel Angel Rocca,"Maximiliano González, Miguel Angel Rocca","Jorge Marrale, Mercedes Morán, Matías Mayer, Nicolás Francella, Luis Machín, Alejandro Paker, José Joaquín Araujo, Antonella Costa, Mónica Lairana, Horacio Acosta, Lucila Gandolfo, Pablo Drigo, Mailén Rocca, Tito Gómez, Matías Rojas","Maracaibo_(film), "
Sunday Holiday,2017,"Comedy, Drama",Jis Joy,"Jis Joy, Urasu","Asif Ali, Aparna Balamurali, Sreenivasan, Lal Jose, Siddique, Sudheer Karamana, Asha Sharath, K.P.A.C. Lalitha, Shruti Ramachandran, Alencier Ley Lopez, Aliyar, Kalasala Babu, Dharmajan Bolgatty, Shivaji Guruvayoor, Jis Joy","Sunday_Holiday, "
Bruce Lee,2017,"Action, Comedy",Prashanth Pandiraj,Prashanth Pandiraj,"Anandraj, Mansoor Ali Khan, Kriti Kharbanda, G.V. Prakash Kumar, Munishkanth, Aathma Patrick, Motta Rajendran, Bala Saravanan","Bruce_Lee_(film), "
Kattappava Kanom,2017,Comedy,Mani Seiyon,Mani Seiyon,"Yogi Babu, Mime Gopi, Nalan Kumarasamy, Chitra Lakshmanan, Livingston, Aishwarya Rajesh, Saravanan, Mimicry Sethu, Sibiraj, Chandini Tamilarasan, Thirumurugan, Kaali Venkat","Kattappava_Kanom, "
Nabab,2017,"Comedy, Romance, Thriller",Joydip Mukherjee,"Pele Bhattacharya, Pele Bhattacharya","Shakib Khan, Subhasree Ganguly, Meghla Mukta, Aparajita Adhya, Biswanath Basu, Sabyasachi Chakrabarty, Rajatabha Dutta, Subhasish Ghosh, Amit Hasan, Meghla, Kharaj Mukherjee, Komol Patekar","Nabab, "
Sherlock Toms,2017,Comedy,Shafi,"Najeem Koya, Sachy","Biju Menon, Mia George, Salim Kumar, Srinda Ashab, Noby Marcose, Dinesh Nair, Vijayakumar, Suresh Krishna, Hareesh Kanaran, Kottayam Nazeer, Aniyappan, Sunil Babu, Jayan Cherthala, Kalabhavan Haneef, Anu Joseph","Sherlock_Toms, "
Pataki,2017,"Action, Comedy",Manju Swaraj,"Prakash Jadeya, Anil Ravipudi","Ganesh, Sai Kumar, Ashish Vidyarthi, Ranya Rao, Priyanka Thimmesh, Sadhu Kokila, Kuri Prathap, Rockline Sudhakar, Mohan Juneja","Pataki_(film), "
Off Track,2017,Drama,Sander Burger,Bastiaan Tichler,"Vanessa Recalde, Lynn Van Royen, Ludwig Bindervoet, Reinout Scholten van Aschat, Matthijs van de Sande Bakhuyzen","Off_Track, "
Night Shift,2018,"Horror, Thriller",Stephen Hall,Stephen Hall,"Ashleigh Dorrell, Matthew O'Brien, Angel Hannigan, Nigel Mercier, David Collins, Martin Maguire, Daniel Fitzgibbon, Mary Geaney, Emma Healy, Jennifer Hennephof, Chrissy Randall, Nicola Bennett, Jamie Walters, Sascha Seyschab, Stephen Barrett","Night_Shift_(film), "
Eternal Love,2017,Romance,Ahmet Katiksiz,Deniz Akcay Katiksiz,"Murat Yildirim, Fahriye Evcen Özçivit, Filiz Ahmet, Fatih Al, Ege Aydan, Fatih Dogan, Nuri Gümüs, Didem Inselel, Nazli Pinar Kaya, Zeynep Özder","Eternal_Love_(1929_film), "
Ittefaq,2017,"Mystery, Thriller",Abhay Chopra,"Abhay Chopra, Shreyas Jain","Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna, Mandira Bedi, Himanshu Kohli, Ajay Jadhav, Pavail Gulati, Samir Sharma, Kimberley Louisa McBeath, Vinay Sharma, Romil Saraswat, Bharat Jha, Trupti Khamkar, Sandesh Upashyam, Sujata Jog","Ittefaq_(1969_film), Ittefaq_(2001_film), "
Varnyathil Aashanka,2017,Comedy,Sidharth Bharathan,,"Kunchacko Boban, Suraj Venjaramoodu, Chemban Vinod Jose, Shine Tom Chacko, Manikandan R. Achari, Rachana Narayanankutty, Kichu Tellus, Sunil Sukhada, Devi Ajith, Favour Francis, Ilhan, Assim Jamal, Vijilesh Karayad, K.P.A.C. Lalitha, Dinesh Nair","Varnyathil_Aashanka, "
Solo,2018,"Adventure, Drama, Romance",Hugo Stuven,"Santiago Lallana, Hugo Stuven","Alain Hernández, Aura Garrido, Ben Temple, Leticia Etala, Alvaro Vizcaino, Francisco Javier Bolea Fernández, Alessandro Bandello, Renzo Murias Ayuso, Simón Espinque, Yesarela Arzumendi, Alfonso Fernández Epalza, Celia del Busto Griñón, José Ignacio Cabezas Díez, Elvira Isasi Loma Ossorio, Yanira Soto Cabrera","Solo_(1996_film), Solo_(2017_film), Solo_(2011_film), "
Manje Bistre,2017,"Comedy, Drama",Baljit Singh Deo,Gippy Grewal,"Gippy Grewal, Sonam Bajwa, Karamjit Anmol, Gurpreet Ghuggi, Jaggi Singh, B.N. Sharma, Rana Ranbir, Sardar Sohi, Sara Gurpal, Hobby Dhaliwal, Tata Benipal, Raghveer Boli, Malkeet Rauni, Dilraj Uday","Manje_Bistre, "
Trauma,2017,"Action, Drama, Horror",Lucio A. Rojas,Lucio A. Rojas,"Catalina Martin, Macarena Carrere, Daniel Antivilo, Ximena del Solar, Dominga Bofill, Felipe Ríos, Eduardo Paxeco, Claudio Riveros, Catalina Bianchi, Alejandro Trejo, Max Torres, Claudia Aravena, Nicolás Rojas, Florencia Heredia, Mauricio Rojas","Trauma_(2004_film), "
Diane,2018,Drama,Kent Jones,Kent Jones,"Mary Kay Place, Jake Lacy, Estelle Parsons, Andrea Martin, Deirdre O'Connell, Glynnis O'Connor, Joyce Van Patten, Kerry Flanagan, Phyllis Somerville, Celia Keenan-Bolger, Ray Iannicelli, David Tuttle, Marcia Haufrecht, Mike Hartman, Cara Yeates","Diane_(film), "
Dreamland,2019,"Comedy, Crime, Fantasy",Bruce McDonald,"Tony Burgess, Patrick Whistler","Stephen McHattie, Henry Rollins, Juliette Lewis, Lisa Houle, Morgan Csarno-Peklar, Themis Pauwels, Astrid Roos, Hana Sofia Lopes, Guillaume Kerbusch, Stéphane Bissot, Sam Louwyck, Tómas Lemarquis, Viktor Antonyuk, Caramanico Laura, Fouad Rathle","Dreamland_(2006_film), "
Fukrey Returns,2017,Comedy,Mrighdeep Lamba,"Vipul Vig, Vipul Vig","Pulkit Samrat, Varun Sharma, Ali Fazal, Manjot Singh, Richa Chadha, Priya Anand, Pankaj Tripathi, Vishakha Singh, Pallavi Batra, Purnendu Bhattacharya, Monsoon Boruah, Aman Chaudhry, Vijay Kumar Dogra, Mahesh Gahlot, Mayank Gola","Fukrey_Returns, "
Kavan,2017,"Action, Thriller",K.V. Anand,"K.V. Anand, K.V. Anand","Vijay Sethupathi, Madonna Sebastian, Thesingu Rajendar, Bose Venkat, Vikranth, Jagan, Darshana Rajendran, R. Pandiaraajan, Powerstar Srinivasan, Akashdeep Saigal, Chandini Tamilarasan, Nassar, Priyaa Rajkumar","Kavan_(film), "
Trance,2020,"Drama, Thriller",Anwar Rasheed,Vincent Vadakkan,"Fahadh Faasil, Nazriya Nazim, Gautham Menon, Soubin Shahir, Sreenath Bhasi, Dileesh Pothan, Arjun Ratan, Anu K. Aniyan, Joju George, Vinayakan, Amalda Liz, Arjun Asokan, Chemban Vinod Jose, Sal Yusuf, Sibi Thomas","Trance_(2013_film), "
Duvvada Jagannadham,2017,"Action, Comedy",Harish Shankar,"Harish Shankar, Harish Shankar","Allu Arjun, Rao Ramesh, Murli Sharma, Pooja Hegde, Ananth, Joy Badlani, Tanikella Bharani, Kasi Bhatla, Chandramohan, Devi Charan, Vajja Venkata Giridhar, Jhansi, Vennela Kishore, Roopa Lakshmi, Pavithra Lokesh","Duvvada_Jagannadham, "
Anbanavan Asaradhavan Adangadhavan,2017,Action,Adhik Ravichandran,Adhik Ravichandran,"Tamannaah Bhatia, Neetu Chandra, Shriya Saran, T.R. Silambarasan","Anbanavan_Asaradhavan_Adangadhavan, "
Sathriyan,2017,Action,,,"Vikram Prabhu, Manjima Mohan, Kavin, Aishwarya Dutta, Sharath Lohitashwa, Rio Raj, Sounthara Raja, Aruldoss, Nandakumar, Aadukalam Naren, Yogi Babu, Thara, Vijay Murugan, Florent C. Pereira, Veluthukattu Kathir","Sathriyan, "
Oxygen,2017,"Action, Thriller",Jyothi Krishna,"Jyothi Krishna, Surendra Krishna","Tottempudi Gopichand, Raashi Khanna, Anu Emmanuel, Jagapathi Babu, Brahmaji, Avantika Vandanapu, Ali, Sakshi Chaudhary, Meghashree","Oxygen_(2017_film), "
Vanamagan,2017,"Action, Adventure","A.L. Vijay, A.L. Vijay",A.L. Vijay,"Arjun, Akhilesh Krishna, Prakash Raj, Shanmugha Rajan, Thambi Ramaiah, Jayam Ravi, Sayyeshaa Saigal, Moen Sheikh, R.S. Shivaji, Srinivasan, Varun","Vanamagan, "
Dhairyam,2017,"Action, Family, Thriller",A.R. Shiva Tejas,A.R. Shiva Tejas,"Ajay Rao, Aditi Prabhudeva, P. Ravi Shankar, Jai Jagdeesh, Sadhu Kokila, Honnavalli Krishna, Srinivasa Prabhu, Sangeetha, Padhmini","Dhairyam_(2017_film), "
Revenge,2017,"Action, Horror, Thriller",Coralie Fargeat,Coralie Fargeat,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède, Jean-Louis Tribes, Barbara Gateau","Revenge_(1918_film), Revenge_(1990_film), Revenge_(1971_film), "
Captain,2018,"Biography, Sport",Prajesh Sen,Prajesh Sen,"Jayasurya, Anu Sithara, Deepak Parambol, Renji Panicker, Siddique, Jojo George, Janardanan, Adwaith Jayasurya, Shiyas Kareem, Santhosh Keezhattoor, Saiju Kurup, Mammootty, Nirmal Palazhi, Lakshmi Sharma, Anna A. Smith","Captain_(1994_film), "
8 Thottakkal,2017,"Action, Crime, Thriller",Sri Ganesh,Sri Ganesh,"Vetri, Aparna Balamurali, Nassar, M.S. Bhaskar, Mime Gopi, Charles Vinoth, T. Siva, I.B. Karthikeyan, Manikandan, Lallu, Thamizhselvi, R.S. Shivaji, Theni Murugan, Pandian, Ranjith","8_Thottakkal, "
Rabb Da Radio,2017,Drama,"Harry Bhatti, Tarnvir Singh Jagpal",Jass Grewal,"Tarsem Jassar, Simi Chahal, Mandy Takhar, Nirmal Rishi, Gurmeet Saajan, Seema Kaushal, Satwant Kaur, Dheeraj Kumar, Harby Sangha, Tarsem Paul, Arjuna Bhalla, Malkeet Rauni, Sunita Dhir, Jasneet Kaur, Siddhi Malhotra","Rabb_Da_Radio, "
Parasite,2019,"Comedy, Drama, Thriller",Bong Joon Ho,"Bong Joon Ho, Bong Joon Ho","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi, So-dam Park, Jeong-eun Lee, Hye-jin Jang, Myeong-hoon Park, Ji-so Jung, Hyun-jun Jung, Keun-rok Park, Jeong Esuz, Jo Jae-Myeong, Ik-han Jung, Kim Gyu Baek","Parasite_(film), "
Chained for Life,2018,Drama,Aaron Schimberg,Aaron Schimberg,"Jess Weixler, Adam Pearson, Stephen Plunkett, Charlie Korsmo, Sari Lennick, Joanna Arnow, Cosmo Bjorkenheim, Will Blomker, Lauren Brown, Daniel Patrick Carbone, Jon Dieringer, Rayvin Disla, Daniel Gilchrist, Avi Glickstein, Miranda Gruss","Chained_for_Life, "
Brindavanam,2017,Drama,Radha Mohan,"Radha Mohan, Pon Parthiban","Arulnithi, Vivek, Tanya, M.S. Bhaskar, Thalaivasal Vijay, Subbu Panchu, Doubt Senthil, Cell Murugan, Sricharan, Krishnamoorthy","Brindavanam_(2017_film), Brindavanam_(2010_film), "
Thondan,2017,Crime,Samuthirakani,,"Arthana Binu, Gnanasambandam, 'Ganja' Karuppu, Namo Narayana, Soundara Raja, Thambi Ramaiah, Samuthirakani, Soori, Sunaina, Vikranth","Thondan, Thondan_(2017_film), "
American Dreamer,2018,"Crime, Thriller",Derrick Borte,"Derrick Borte, Daniel Forte","Jim Gaffigan, Tammy Blanchard, Robbie Jones, Isabel Arraiza, Alejandro Hernandez, Eric D. Hill Jr., Curtis Lyons, Brian K. Landis, Harrison Fall, Cynthia Tademy, Tommy Coleman, Michael Hughes, Charlie Landis","American_Dreamer_(film), "
Queen,2018,"Comedy, Crime, Mystery",Dijo Jose Antony,"Jebin Joseph Antony, Sharis Mohammed","Dhruvan, Saniya Iyappan, Eldho Mathew, Ashwin Jose, Arun Das, Vijayaraghavan, Salim Kumar, Sreejith Ravi, Nandu, Leona Lishoy, Jaimi Afzal, Jenson Alappat, Kalasala Babu, Manoj Guiness, Nahas Hidayath","Queen_(2014_film), "
Velipadinte Pusthakam,2017,"Action, Comedy, Drama",Lal Jose,Benny P. Nayarambalam,"Mohanlal, Anoop Menon, Arun Kurian, Sarath Kumar, Reshma Rajan, Chemban Vinod Jose, Salim Kumar, Shivaji Guruvayoor, Priyanka Nair, Vijay Babu, Binu Adimali, Jaise Jose, Jude Anthany Joseph, Krishna Kumar, Alencier Ley Lopez","Velipadinte_Pusthakam, "
Tumhari Sulu,2017,"Comedy, Drama",Suresh Triveni,Suresh Triveni,"Vidya Balan, Manav Kaul, Neha Dhupia, Vijay Maurya, Malishka Mendonsa, Abhishek Sharrma, Mahesh Pillai, Sindhu Shekharan, Seema Taneja, Ajoy Chakraborty, Mandeep Kumar, Ayushmann Khurrana, Santanu Ghatak, Trupti Khamkar, Uday Lagoo","Tumhari_Sulu, "
Nighthawks,2019,"Drama, Thriller",Grant S. Johnson,Grant S. Johnson,"Chace Crawford, Janet Montgomery, Kevin Zegers, Blue Kimble, Michele Weaver, Craig Castaldo, Lola Bessis, Maurice McRae, Max Sheldon, Melanie Blake Roth, Nicole Balsam, Roy Jackson, Gabby Kono, Juliette Labelle, Tyler Weaks","Nighthawks_(film), "
Saving Christmas,2017,Family,Tom DeNucci,"Kevin DeCristofano, Tom DeNucci","Edward Asner, Brooke Langton, Patrick Muldoon, Jack Brunault, Lindsey Blanchard, Max Harris, Jalon Christian, Mike Bennett, Tommy Dreamer, Matthew Kaye, David Heath, David Gere, Maria Kanellis, Chase Andersen, Fred Sullivan","Saving_Christmas, "
Hello,2017,"Action, Romance",Vikram K. Kumar,"Usha Damerla, Vikram K. Kumar","Akhil Akkineni, Kalyani Priyadarshan, Jagapathi Babu, Ramya Krishnan, Ajay, Mikhail Gandhi, Praveen, Vennela Kishore, Joy Badlani, Myrah Dandekar, Satya Krishnan, Krishnudu, Anish Kuruvilla, Melkote, Krishna Murali Posani","Hello_(2008_film), Hello_(1999_film), "
Jumbo,2020,Drama,Zoé Wittock,Zoé Wittock,"Noémie Merlant, Emmanuelle Bercot, Bastien Bouillon, Sam Louwyck, Tracy Dossou, Jonathan Bartholmé, Eduard Nemcsenko, Noah Daccrissio, Idao Daccrissio, Stephen Rohde, Chris Caligo, Jimmy Raphaël, Barbara Hellemans","Jumbo_(film), "
Paradise,2016,"Comedy, Drama",Ali Atshani,"Mahdi Alimirzaee, Ali Atshani","Javad Ezati, Mehran Rajabi, Mohammad Ali Najafian, Olivia Burkhart, Saman Saffari, Bita Atshani, Katrin Flu, Matthias Matz, Maryam Shahvali, Kian Kavousi","Paradise_(1991_film), Paradise_(2013_film), Paradise_(1982_film), "
Love Today,1997,"Drama, Romance",Balasekaran,Balasekaran,"Rajan P. Dev, Dhamu, Karan, Bindu Panikkar, Raasi, Raghuvaran, Ramji, Sriman, Suvalakshmi, Joseph Vijay","Love_Today_(film), "
The Field,2019,"Fantasy, Mystery, Thriller",Tate Bunker,"Tate Bunker, Anthony Wood","Tim Higgins, Veronica Cartwright, Barry Bostwick, Mark Metcalf, Kara Mulrooney, Mark Borchardt, Matt Batta, Cecelia Condit, Judy Dondlinger, Ted Dulany, Jean Dvorak, Catherine Egger, Jenn Morris Fodden, Marce Leonard, Cynthia Lund","The_Field_(film), "
Ninaithen Vandhai,1998,"Drama, Romance",K. Selva Bharathy,"K. Selva Bharathy, Satyanand","Joseph Vijay, Vinu Chakravarthy, Charlie, Devayani, Sennalkudi Lakshmi, Manivannan, Rambha, Ranjith, Senthil, R. Sundarajan, Alwa Vasu, Malaysia Vasudevan","Ninaithen_Vandhai, "
Priyamudan,1998,"Romance, Thriller",Vincent Selva,"Pattukottai Prabhakar, Vincent Selva","Joseph Vijay, Kousalya, Nassar, Manivannan, Azhagu, Madhan Bob, S.A. Chandrashekhar, T.P. Gajendran, Jai Ganesh, Thidir Kannaiah, K.P. Mohan, Sujith Sagar, Vincent Selva, S.N. Surendar, Jaguar Thangam","Priyamudan, "
Mr. Jones,2019,"Biography, Drama, Thriller",Agnieszka Holland,Andrea Chalupa,"James Norton, Vanessa Kirby, Peter Sarsgaard, Joseph Mawle, Kenneth Cranham, Celyn Jones, Krzysztof Pieczynski, Beata Pozniak, Fenella Woolgar, Martin Bishop, John Edmondson, Michalina Olszanska, Martin Hugh Henley, Olena Leonenko, Edward Wolstenholme","Mr._Jones_(1993_film), "
Welcome Home,2018,Thriller,George Ratliff,David Levinson,"Emily Ratajkowski, Aaron Paul, Riccardo Scamarcio, Katy Louise Saunders, Alice Bellagamba, Francesco Acquaroli, Evgeny Krylov, Igor Mikhaylov, Robert Babin, Sam Mane, Nav Ghotra, Daphne Alexander, Federico Riccardo Rossi","Welcome_Home_(1935_film), Welcome_Home_(1989_film), "
Shahjahan,2001,"Drama, Romance",K.S. Ravi,"Prasanna Kumar, K.S. Ravi","Joseph Vijay, Balaji, Banu Balasubramaniam, Chaplin Balu, Devan, Sona Heiden, Ilavarasu, Krishna, Meena, Richa Pallod, Pandu, Ajay Ratnam, Nizhalgal Ravi, Janaki Sabesh, Kovai Sarala","Shahjahan_(film), "
Monster,2018,Horror,Matt Shaw,"Matt Shaw, Shaun Hutson","Justin Hayward, Tracy Shaw, Danielle Harold, Erik Lara, Jon Vangdal Aamaas, Laura Ellen Wilson, Rod Glenn, Nick Ford, Tony Cook, Clair Buckley, James Smart, Jay Creepy, Julie Graham, Michael Bray, Erik Augustin","Monster_(2003_film), Monster_(2014_film), "
Coven,2020,Horror,Margaret Malandruccolo,Lizze Gordon,"Lizze Gordon, Margot Major, Adam Horner, Sofya Skya, Jocelyn Saenz, Miranda O'Hare, Jessica Louise Long, Sara Stretton, Aaron James, Terri Ivens, Jennifer Cipolla, Tessa Espinola, Jarod Martin","Coven_(film), "
Venus,2017,"Comedy, Drama, Family",Eisha Marjara,Eisha Marjara,"Debargo Sanyal, Jamie Mayers, Pierre-Yves Cardinal, Zena Darawalla, Gordon Warnecke, Amber Goldfarb, Peter Miller, Judy Virago, Matt Keyes","Venus_(film), "
Hammer,2019,"Crime, Drama, Thriller",Christian Sparkes,"Christian Sparkes, Christian Sparkes","Will Patton, Mark O'Brien, Ben Cotton, Vickie Papavs, Connor Price, Dayle McLeod, Curtis Caravaggio, Lara Jean Chorostecki, Jason Weinberg, Stephen Lush, Deidre Gillard-Rowlings, Trish Rainone","Hammer_(film), "
Tharangam,2017,"Action, Comedy",Dominic Arun,"Dominic Arun, Anil Narayanan","Tovino Thomas, Balu Varghese, Santhy Balachandran, Neha Iyer, Vijayaraghavan, Unni Mukundan, Alencier Ley Lopez, Achuthanandan, Chempil Asokan, Sunil Babu, Naji Mohammed Baji, Manoj K. Jayan, Saiju Kurup, Unni Lalu, Sanal Mohana Marar","Tharangam_(2017_film), "
Jai Lava Kusa,2017,"Action, Drama",K.S. Ravindra,"K.S. Ravindra, K.S. Ravindra","N.T. Rama Rao Jr., Raashi Khanna, Nivetha Thomas, Brahmaji, Krishna Murali Posani, Sai Kumar, Chalapathi Rao, Viva Harsha, Sandhya Janak, Ravinder Kolishetty, Sharath Lohitashwa, Pavithra Lokesh, Hamsa Nandini, Nassar, Praveen","Jai_Lava_Kusa, "
Dead Ringer,2018,Action,Richard Colton,,"Tom Sizemore, Luke White, Amar Adatia, Bai Ling, Danielle Harold, Jessica-Jane Stafford, Bentley Kalu, Stefan Boehm, Sinitta, Tony Fadil, Lee Stafford, Tom Zanetti, Shide Boss, Ricky Rayment, Jordi Whitworth","Dead_Ringer_(1964_film), "
Sarvopari Palakkaran,2017,Comedy,Venugopan,S. Suresh Babu,"Anoop Menon, Aparna Balamurali, Anu Sithara, Gayathri Arun, Vijayakumar, Alencier Ley Lopez, Balu Varghese, Manju Satheesh, Chali Pala, Nandu, Roshan Basheer, Manuraj","Sarvopari_Palakkaran, "
Mister,2017,Drama,Sreenu Vaitla,"Gopimohan, Sreedhar Seepana","Varun Tej, Lavanya Tripathi, Hebah Patel, Abhay, Anand, Raghu Babu, Banerjee, Abhay Bethiganti, Bhadram, Bhandhavi, Bhanu Sri, Tanikella Bharani, Bharath, Brahmaji, Chammak Chandra","Mister_(film), "
Saravanan Irukka Bayamaen,2017,"Action, Comedy",Ezhil,,"Karai Natrajan, Anusree, Yogi Babu, Madhan Bob, Regina Cassandra, Srushti Dange, Mansoor Ali Khan, Livingston, Jangiri Madhumitha, Joe Malloori, Manobala, Ravi Mariya, Ashvin Raja, Robo Shankar, Soori","Saravanan_Irukka_Bayamaen, "
Vivegam,2017,"Action, Thriller",Siva,"Siva, Siva","Ajith Kumar, Vivek Oberoi, Kajal Aggarwal, Akshara Haasan, Karunakaran, Amila Terzimehic, Serge Crozon-Cazin, Bashar Rahal, Arav Chowdharry, Billy Murali, Branka Pujic, Anka Gacesa, Bojana Ordinacev, Vojislav Tomic, Katarina Gojkovic","Vivegam, "
Yeidhavan,2017,"Action, Crime, Drama",Sakthi Rajasekaran,Sakthi Rajasekaran,"Sandra Amy, Gautham, Kalaiyarasan, Krishna Kumar, Aadukalam Naren, Rajkumar, Vela Ramamoorthy, Saretheran, Satna Titus, Vallavan, Charles Vinoth","Yeidhavan, "
Lahoriye,2017,Drama,Amberdeep Singh,Amberdeep Singh,"Amrinder Gill, Sargun Mehta, Guggu Gill, Yuvraj Hans, Nimrat Khaira, Sardar Sohi, Nirmal Rishi, Hobby Dhaliwal, Amberdeep Singh, Gagan Mehra, Sandeep Malhi, Harjit Kainth, Pardeep Cheema, Balwinder Begowal, Suresh Pandit","Lahoriye, "
Money,2019,"Crime, Drama",Noo-ri Park,Noo-ri Park,"Jun-Yeol Ryu, Ji-Tae Yoo, Woo-jin Jo, Min-Jae Kim, Jin-ah Won, Obada Adnan, Jason S. Feldman, Ryan Maurer, Jong-hak Son, Tony Autrey Stark, Mathieu Stewart","Money_(1993_film), "
"My Little Baby, Jaya",2017,"Crime, Drama",Hak-Ryeol Yun,,"Jung-kyun Kim, Ye-Seol Oh","My_Little_Baby,_Jaya, "
Sangili Bungili Kadhava Thorae,2017,"Comedy, Horror",Ike,Ike,"Nivas Adithan, Devadarshini Chetan, Sri Divya, Akshara Gowda, Ilavarasu, Jai, Jiiva, Kousalya, Madhumila, Mayilsamy, Motta Rajendran, Thambi Ramaiah, Radha Ravi, Kovai Sarala, Radhika Sarathkumar","Sangili_Bungili_Kadhava_Thorae, "
Mayaanadhi,2017,"Drama, Romance",Aashiq Abu,"Dileesh Nair, Syam Pushkaran","Aishwarya Lekshmi, Tovino Thomas, Leona Lishoy, Ilavarasu, Harish Uthaman, Aparna Balamurali, Bijibal, Shine Tom Chacko, Basil Joseph, Rajesh Madhavan, Maya Menon, Alphy Panjikaran, Lijo Jose Pellissery, Unnimaya Prasad, Rachana","Mayaanadhi, "
Lilith,2018,Horror,Alexander T. Hwang,"Richard J. Aguirre, Alexander T. Hwang","Felissa Rose, Michael Wainwright, Thomas Haley, Brialynn Massie, Lara Jean Sullivan, Michael Jon Murphy, Hunter Johnson, Charles Chudabala, John DeYoe, Jennifer Nangle, Vernon Wells, Noel Jason Scott, Mark Schaefer, Noël VanBrocklin, Colton Wheeler","Lilith_(film), "
Midway,2019,"Action, Adventure, Drama",Roland Emmerich,Wes Tooke,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans, Mandy Moore, Luke Kleintank, Dennis Quaid, Aaron Eckhart, Keean Johnson, Nick Jonas, Etsushi Toyokawa, Tadanobu Asano, Darren Criss, Brandon Sklenar, Jake Manley","Midway_(film), "
Daddy,2017,"Action, Biography, Crime",Ashim Ahluwalia,"Ashim Ahluwalia, Arjun Rampal","Arjun Rampal, Aishwarya Rajesh, Nishikant Kamat, Rajesh Shringarpore, Purnanand Wandekar, Anupriya Goenka, Shruti Bapna, Usha Naik, Shrikant Yadav, Deepak Damle, Raj Arjun, Vijay Sanap, Abhimanue Arun, Abdul, Sujit Acharya","Daddy_(2017_film), Daddy_(2001_film), "
Eye for an Eye,2019,"Action, Thriller",Stephen Lambert,George Kaplan,"Alex Sturman, Clayton Haymes, David Chattam, David E. Ballard, Shirley Dalmas, Joanna Fyllidou, Steven T. Bartlett, Tim Molyneux, Tom Webb, Holgie Forrester, Beau Kiger, Chris Wang, Robert McEvilly, Joshua M. Watson, Pasha Sol","Eye_for_an_Eye_(1996_film), "
Andhhagadu,2017,Comedy,Veligonda Srinivas,Veligonda Srinivas,"Raj Tarun, Hebah Patel, Rajendra Prasad, Mahesh Achanta, Ananth, Rajsekhar Aningi, Venkateswara Rao Paruchuri, Prabhakar, Satyam Rajesh, Raja Ravindra, Jayaprakash Reddy, Satya, Sayaji Shinde, Fish Venkat, Ashish Vidyarthi","Andhhagadu, "
Breaking News,2017,Drama,Iulia Rugina,"Ana Agopian, Oana Rasuceanu","Dorin Andone, Valeriu Andriuta, David Blaj, Dorian Boguta, Anda Caropol, Gelu Ciobanu, Constantin Cojocaru, George Albert Costea, Sorin Dobrin, Claudiu Dumitru, Ioana Flora, Gabi Gheorghe, Lari Giorgescu, Floriela Grapini, Angela Ioan","Breaking_News_(2004_film), Breaking_News_(2012_film), "
