title,year,genre,director,writer,actors,wiki_url
Yankee Doodle in Berlin,1919,Comedy,F. Richard Jones,Mack Sennett,"Bothwell Browne, Ford Sterling, Malcolm St. Clair, Bert Roach, Eva Thatcher, Marie Prevost, Ben Turpin, Charles Murray, Chester Conklin, Heinie Conklin, Joseph Belmont","Yankee_Doodle_in_Berlin, "
April Folly,1920,"Drama, Crime",Robert Z. Leonard,"Adrian Johnson, Cynthia Stockley","Marion Davies, Madeline Marshall, Hattie Delaro, Amelia Summerville, Conway Tearle, J. Herbert Frank, Warren Cook, Spencer Charters, Charles Peyton, Agnes Neilson","April_Folly, "
Humoresque,1920,Drama,Frank Borzage,"Fannie Hurst, Frances Marion","Gaston Glass, Vera Gordon, Alma Rubens, Dore Davidson, Bobby Connelly, Helen Connelly, Ann Wallack, Sidney Carlyle, Joseph Cooper, Maurice Levigne, Alfred Goldberg, Edward Stanton, Louis Stern, Maurice Peckre, Ruth Sabin","Humoresque_(film), "
The Last of the Mohicans,1920,"Action, Adventure, Drama","Clarence Brown, Maurice Tourneur","James Fenimore Cooper, Robert Dillon","Wallace Beery, Barbara Bedford, Alan Roscoe, Lillian Hall, Henry Woodward, James Gordon, George Hackathorne, Nelson McDowell, Harry Lorraine, Theodore Lorch, Jack McDonald, Sydney Deane, Joseph Singleton","The_Last_of_the_Mohicans_(1920_American_film), The_Last_of_the_Mohicans_(1936_film), The_Last_of_the_Mohicans_(1992_film), "
The Love Flower,1920,Drama,D.W. Griffith,"D.W. Griffith, Ralph Stock","Carol Dempster, Richard Barthelmess, George MacQuarrie, Anders Randolf, Florence Short, Crauford Kent, Adolph Lestina, William James, Jack Manning","The_Love_Flower, "
Pollyanna,1920,"Family, Comedy, Drama",Paul Powell,"Eleanor H. Porter, Catherine Chisholm Cushing","Mary Pickford, Wharton James, Katherine Griffith, Helen Jerome Eddy, George Berrell, Howard Ralston, William Courtleigh, Herbert Prior","Pollyanna_(1920_film), Pollyanna_(1960_film), "
The Round-Up,1920,"Comedy, Western",George Melford,"Edmund Day, Tom Forman","Roscoe 'Fatty' Arbuckle, Mabel Julienne Scott, Irving Cummings, Tom Forman, Jean Acker, A. Edward Sutherland, Wallace Beery, Guy Oliver, Jane Wolfe, George Kuwa","The_Round-Up_(1920_film), "
The Saphead,1920,Comedy,"Herbert Blaché, Winchell Smith","Bronson Howard, Victor Mapes","Edward Jobson, Beulah Booker, Edward Connelly, Edward Alexander, Irving Cummings, Odette Tyler, Carol Holloway, Jack Livingston, William H. Crane, Buster Keaton","The_Saphead, "
Sex,1920,Drama,Fred Niblo,C. Gardner Sullivan,"Louise Glaum, Irving Cummings, Peggy Pearce, Myrtle Stedman, William Conklin","Sex_(film), "
Something to Think About,1920,Drama,Cecil B. DeMille,Jeanie Macpherson,"Elliott Dexter, Gloria Swanson, Monte Blue, Theodore Roberts, Claire McDowell, Michael D. Moore, Julia Faye, Jim Mason, Tôgô Yamamoto, Theodore Kosloff","Something_to_Think_About, "
